식당명,지역명,네이버평점
에그셀런트,동대문구,4.57
써니사이드커피,동대문구,4.57
멜로우시티,동대문구,4.57
만리향,동대문구,4.56
태백숯불갈비,동대문구,4.56
정원갈매기살,동대문구,4.56
유황오리구이전문점,동대문구,4.56
보신옥,동대문구,4.56
고향마을갈비,동대문구,4.56
토담마을,동대문구,4.56
네네치킨,동대문구,4.56
빈이네 곱창,동대문구,4.56
베리베리,동대문구,4.56
피자스쿨,동대문구,4.56
고향집,동대문구,4.56
치보,동대문구,4.56
또박이떡볶이,동대문구,4.56
비비비 브루잉,동대문구,4.56
스시선생,동대문구,4.56
포트오브모카,동대문구,4.56
커리146,동대문구,4.56
브라운팰리스커피숍,동대문구,4.56
불꽃냉면칼국수,동대문구,4.56
커피앤톡,동대문구,4.56
서울쉬퐁,동대문구,4.56
커피볶는성군,동대문구,4.56
고흥식당,동대문구,4.56
고미소곱창,동대문구,4.56
아빠맘푸드,동대문구,4.56
꼬지사께,동대문구,4.56
시장포차호프,동대문구,4.56
더치앤빈,동대문구,4.56
카페37.5,동대문구,4.56
남수,동대문구,4.56
두꺼비 떡볶이,동대문구,4.56
곱분이곱창,동대문구,4.56
경양카츠,동대문구,4.56
알찬떡볶이,동대문구,4.56
메리버터,동대문구,4.56
한우리한방민물장어생삼겹,동대문구,4.55
칠락집,동대문구,4.55
탐스,동대문구,4.55
진미식당,동대문구,4.55
운주,동대문구,4.55
이문시장,동대문구,4.55
멍군집,동대문구,4.55
구공탄뽈따구,동대문구,4.55
챔피언,동대문구,4.55
피자파자,동대문구,4.55
이삭토스트,동대문구,4.55
먹거리,동대문구,4.55
미남참치,동대문구,4.55
이모네국수김밥,동대문구,4.55
돈주네,동대문구,4.55
혼마참치,동대문구,4.55
주커피,동대문구,4.55
커피나인,동대문구,4.55
퍼블릭 하우스,동대문구,4.55
텐,동대문구,4.55
카페 레옹,동대문구,4.55
대한닭발 1979,동대문구,4.55
카페제이더블유앤샤브,동대문구,4.55
속초코다리,동대문구,4.55
아경면선,동대문구,4.55
59쌀피자,동대문구,4.55
경희대학교간호이과대카페,동대문구,4.55
봉봉토스트,동대문구,4.55
아라기,동대문구,4.55
오앤디,동대문구,4.55
조선닭갈비파전,동대문구,4.55
청량반점,동대문구,4.55
오소록,동대문구,4.55
보스코 젤라또,동대문구,4.55
화성옥갈비생갈비,동대문구,4.54
1988,동대문구,4.54
39돈가스,동대문구,4.54
동아식당,동대문구,4.54
수목원맛쌈밥,동대문구,4.54
곱창만20년,동대문구,4.54
엄나무집,동대문구,4.54
한지창에고인달빛,동대문구,4.54
교촌치킨,동대문구,4.54
정원돌솥밥,동대문구,4.54
동해관,동대문구,4.54
옛맛수제피순대,동대문구,4.54
팔레트,동대문구,4.54
부부바지락손칼국수,동대문구,4.54
이상준초밥,동대문구,4.54
킹스비어,동대문구,4.54
열정쭈꾸미,동대문구,4.54
브라운팩토리,동대문구,4.54
카페가성비,동대문구,4.54
타마르커피,동대문구,4.54
동네책방,동대문구,4.54
수피자,동대문구,4.54
청량회관,동대문구,4.54
더하루,동대문구,4.54
회기버거,동대문구,4.54
킹마라훠궈,동대문구,4.54
오늘따라 마카롱,동대문구,4.54
히포케이크,동대문구,4.54
카페 온오프,동대문구,4.54
부엉이곱창,동대문구,4.54
억마니,동대문구,4.54
크로네베이커리,동대문구,4.53
신꼬끼오,동대문구,4.53
낭풍,동대문구,4.53
안가네한방닭오리삼계탕,동대문구,4.53
투다리,동대문구,4.53
밥사랑,동대문구,4.53
외대감자탕,동대문구,4.53
지정환피자,동대문구,4.53
처갓집양념치킨,동대문구,4.53
아이러브케익,동대문구,4.53
커피포레스트,동대문구,4.53
빵장수단팥빵,동대문구,4.53
신화쭈꾸미,동대문구,4.53
맛닭꼬,동대문구,4.53
이야기카페,동대문구,4.53
신과함께국물떡볶이,동대문구,4.53
카페반창고,동대문구,4.53
마시그래이,동대문구,4.53
와레와레쿡,동대문구,4.53
크치치킨,동대문구,4.53
콘반,동대문구,4.53
커핑플로우,동대문구,4.53
정편백,동대문구,4.53
이츠이츠 베트남커피,동대문구,4.53
